date,Group,Pop
20200719,ICU Beds,40
20200718,ICU Beds,43
20200717,ICU Beds,46
20200716,ICU Beds,34
20200715,ICU Beds,33
20200714,ICU Beds,27
20200713,ICU Beds,33
20200712,ICU Beds,34
20200711,ICU Beds,35
20200710,ICU Beds,39
20200709,ICU Beds,35
20200708,ICU Beds,35
20200707,ICU Beds,37
20200706,ICU Beds,37
20200705,ICU Beds,
20200719,Isolation Beds,242
20200718,Isolation Beds,260
20200717,Isolation Beds,248
20200716,Isolation Beds,249
20200715,Isolation Beds,249
20200714,Isolation Beds,250
20200713,Isolation Beds,249
20200712,Isolation Beds,251
20200711,Isolation Beds,251
20200710,Isolation Beds,250
20200709,Isolation Beds,253
20200708,Isolation Beds,301
20200707,Isolation Beds,293
20200706,Isolation Beds,276
20200705,Isolation Beds,
20200719,Ward Beds,159
20200718,Ward Beds,148
20200717,Ward Beds,161
20200716,Ward Beds,159
20200715,Ward Beds,159
20200714,Ward Beds,162
20200713,Ward Beds,159
20200712,Ward Beds,165
20200711,Ward Beds,162
20200710,Ward Beds,158
20200709,Ward Beds,158
20200708,Ward Beds,148
20200707,Ward Beds,157
20200706,Ward Beds,147
20200705,Ward Beds,
20200719,Total Bed,441
20200718,Total Bed,451
20200717,Total Bed,455
20200716,Total Bed,442
20200715,Total Bed,441
20200714,Total Bed,439
20200713,Total Bed,441
20200712,Total Bed,450
20200711,Total Bed,448
20200710,Total Bed,447
20200709,Total Bed,446
20200708,Total Bed,484
20200707,Total Bed,487
20200706,Total Bed,460
20200705,Total Bed,
20200719,Mech Ventilators,27
20200718,Mech Ventilators,29
20200717,Mech Ventilators,27
20200716,Mech Ventilators,27
20200715,Mech Ventilators,26
20200714,Mech Ventilators,26
20200713,Mech Ventilators,26
20200712,Mech Ventilators,25
20200711,Mech Ventilators,27
20200710,Mech Ventilators,27
20200709,Mech Ventilators,27
20200708,Mech Ventilators,27
20200707,Mech Ventilators,27
20200706,Mech Ventilators,25
20200705,Mech Ventilators,
