date,Group,Pop
20200725,ICU Beds,11.76
20200724,ICU Beds,8.82
20200723,ICU Beds,8.82
20200722,ICU Beds,6.67
20200721,ICU Beds,8.82
20200720,ICU Beds,10.81
20200719,ICU Beds,7.5
20200718,ICU Beds,6.98
20200717,ICU Beds,8.7
20200716,ICU Beds,5.88
20200715,ICU Beds,3.03
20200714,ICU Beds,7.41
20200713,ICU Beds,3.03
20200712,ICU Beds,0
20200711,ICU Beds,5.71
20200710,ICU Beds,10.26
20200709,ICU Beds,5.71
20200708,ICU Beds,8.57
20200707,ICU Beds,5.41
20200706,ICU Beds,2.7
20200725,Isolation Beds,10.92
20200724,Isolation Beds,11.44
20200723,Isolation Beds,12.94
20200722,Isolation Beds,12.6
20200721,Isolation Beds,10
20200720,Isolation Beds,10.08
20200719,Isolation Beds,12.81
20200718,Isolation Beds,15.38
20200717,Isolation Beds,14.52
20200716,Isolation Beds,13.65
20200715,Isolation Beds,10.44
20200714,Isolation Beds,13.6
20200713,Isolation Beds,10.44
20200712,Isolation Beds,8.76
20200711,Isolation Beds,11.15
20200710,Isolation Beds,17.6
20200709,Isolation Beds,14.62
20200708,Isolation Beds,12.29
20200707,Isolation Beds,13.65
20200706,Isolation Beds,13.41
20200725,Ward Beds,25.66
20200724,Ward Beds,20.25
20200723,Ward Beds,21.82
20200722,Ward Beds,22.58
20200721,Ward Beds,28.86
20200720,Ward Beds,25.77
20200719,Ward Beds,25.16
20200718,Ward Beds,28.38
20200717,Ward Beds,29.81
20200716,Ward Beds,27.67
20200715,Ward Beds,34.59
20200714,Ward Beds,33.33
20200713,Ward Beds,34.59
20200712,Ward Beds,38.79
20200711,Ward Beds,38.89
20200710,Ward Beds,38.61
20200709,Ward Beds,39.24
20200708,Ward Beds,37.84
20200707,Ward Beds,33.76
20200706,Ward Beds,34.01
20200725,Mech Ventilators,3.7
20200724,Mech Ventilators,3.57
20200723,Mech Ventilators,3.45
20200722,Mech Ventilators,3.7
20200721,Mech Ventilators,0
20200720,Mech Ventilators,3.85
20200719,Mech Ventilators,3.7
20200718,Mech Ventilators,3.45
20200717,Mech Ventilators,7.41
20200716,Mech Ventilators,3.7
20200715,Mech Ventilators,3.85
20200714,Mech Ventilators,7.69
20200713,Mech Ventilators,3.85
20200712,Mech Ventilators,0
20200711,Mech Ventilators,0
20200710,Mech Ventilators,0
20200709,Mech Ventilators,0
20200708,Mech Ventilators,0
20200707,Mech Ventilators,0
20200706,Mech Ventilators,0
