date,Group,Pop
20200718,Total,499
20200717,Total,496
20200716,Total,495
20200715,Total,490
20200714,Total,486
20200713,Total,485
20200712,Total,481
20200711,Total,479
20200710,Total,477
20200709,Total,476
20200708,Total,474
20200707,Total,471
20200706,Total,469
20200705,Total,467
20200718,Positive,98
20200717,Positive,95
20200716,Positive,94
20200715,Positive,90
20200714,Positive,87
20200713,Positive,87
20200712,Positive,86
20200711,Positive,86
20200710,Positive,84
20200709,Positive,82
20200708,Positive,82
20200707,Positive,79
20200706,Positive,76
20200705,Positive,76
20200718,Negative,399
20200717,Negative,399
20200716,Negative,398
20200715,Negative,396
20200714,Negative,396
20200713,Negative,394
20200712,Negative,393
20200711,Negative,391
20200710,Negative,391
20200709,Negative,390
20200708,Negative,390
20200707,Negative,390
20200706,Negative,389
20200705,Negative,389
20200718,Probable,1
20200717,Probable,1
20200716,Probable,1
20200715,Probable,1
20200714,Probable,1
20200713,Probable,1
20200712,Probable,1
20200711,Probable,1
20200710,Probable,1
20200709,Probable,1
20200708,Probable,1
20200707,Probable,1
20200706,Probable,1
20200705,Probable,1
20200718,Suspect,1
20200717,Suspect,1
20200716,Suspect,2
20200715,Suspect,3
20200714,Suspect,2
20200713,Suspect,3
20200712,Suspect,1
20200711,Suspect,1
20200710,Suspect,1
20200709,Suspect,3
20200708,Suspect,1
20200707,Suspect,1
20200706,Suspect,3
20200705,Suspect,1
