date,Group,Pop
20200722,Quarantined,134
20200721,Quarantined,125
20200720,Quarantined,125
20200719,Quarantined,137
20200718,Quarantined,132
20200717,Quarantined,121
20200716,Quarantined,109
20200715,Quarantined,107
20200714,Quarantined,104
20200713,Quarantined,101
20200712,Quarantined,100
20200711,Quarantined,97
20200710,Quarantined,90
20200709,Quarantined,85
20200708,Quarantined,80
20200707,Quarantined,74
20200706,Quarantined,55
20200705,Quarantined,51
20200722,Recovered,143
20200721,Recovered,141
20200720,Recovered,132
20200719,Recovered,119
20200718,Recovered,119
20200717,Recovered,112
20200716,Recovered,106
20200715,Recovered,98
20200714,Recovered,97
20200713,Recovered,93
20200712,Recovered,93
20200711,Recovered,87
20200710,Recovered,87
20200709,Recovered,85
20200708,Recovered,85
20200707,Recovered,81
20200706,Recovered,79
20200705,Recovered,79
20200722,Admitted,17
20200721,Admitted,14
20200720,Admitted,15
20200719,Admitted,14
20200718,Admitted,14
20200717,Admitted,17
20200716,Admitted,21
20200715,Admitted,22
20200714,Admitted,22
20200713,Admitted,27
20200712,Admitted,27
20200711,Admitted,32
20200710,Admitted,32
20200709,Admitted,32
20200708,Admitted,27
20200707,Admitted,29
20200706,Admitted,26
20200705,Admitted,26
20200722,Deaths,8
20200721,Deaths,8
20200720,Deaths,8
20200719,Deaths,8
20200718,Deaths,8
20200717,Deaths,8
20200716,Deaths,8
20200715,Deaths,8
20200714,Deaths,8
20200713,Deaths,7
20200712,Deaths,7
20200711,Deaths,7
20200710,Deaths,6
20200709,Deaths,6
20200708,Deaths,6
20200707,Deaths,6
20200706,Deaths,6
20200705,Deaths,6
