date,Group,Pop
20200725,Quarantined,14
20200724,Quarantined,19
20200723,Quarantined,17
20200722,Quarantined,11
20200721,Quarantined,5
20200720,Quarantined,1
20200719,Quarantined,5
20200718,Quarantined,15
20200717,Quarantined,14
20200716,Quarantined,9
20200715,Quarantined,4
20200714,Quarantined,3
20200713,Quarantined,1
20200712,Quarantined,4
20200711,Quarantined,7
20200710,Quarantined,5
20200709,Quarantined,10
20200708,Quarantined,7
20200707,Quarantined,23
20200706,Quarantined,4
20200705,Quarantined,8
20200725,Recovered,2
20200724,Recovered,3
20200723,Recovered,8
20200722,Recovered,2
20200721,Recovered,9
20200720,Recovered,13
20200719,Recovered,0
20200718,Recovered,7
20200717,Recovered,6
20200716,Recovered,8
20200715,Recovered,1
20200714,Recovered,4
20200713,Recovered,0
20200712,Recovered,6
20200711,Recovered,0
20200710,Recovered,2
20200709,Recovered,0
20200708,Recovered,4
20200707,Recovered,2
20200706,Recovered,0
20200705,Recovered,1
20200725,Admitted,1
20200724,Admitted,0
20200723,Admitted,1
20200722,Admitted,3
20200721,Admitted,3
20200720,Admitted,1
20200719,Admitted,0
20200718,Admitted,0
20200717,Admitted,0
20200716,Admitted,0
20200715,Admitted,0
20200714,Admitted,0
20200713,Admitted,0
20200712,Admitted,0
20200711,Admitted,1
20200710,Admitted,2
20200709,Admitted,0
20200708,Admitted,1
20200707,Admitted,1
20200706,Admitted,0
20200705,Admitted,0
20200725,Deaths,0
20200724,Deaths,0
20200723,Deaths,0
20200722,Deaths,0
20200721,Deaths,0
20200720,Deaths,0
20200719,Deaths,0
20200718,Deaths,0
20200717,Deaths,0
20200716,Deaths,0
20200715,Deaths,0
20200714,Deaths,1
20200713,Deaths,0
20200712,Deaths,0
20200711,Deaths,1
20200710,Deaths,0
20200709,Deaths,0
20200708,Deaths,0
20200707,Deaths,0
20200706,Deaths,0
20200705,Deaths,0
