date,Group,Pop
20200720,Total,9390
20200719,Total,9253
20200718,Total,9163
20200717,Total,8876
20200716,Total,8631
20200715,Total,8244
20200714,Total,8053
20200713,Total,7903
20200712,Total,7805
20200711,Total,7710
20200710,Total,7464
20200709,Total,7206
20200708,Total,6988
20200707,Total,6753
20200706,Total,6552
20200705,Total,6466
20200720,Positive,262
20200719,Positive,260
20200718,Positive,255
20200717,Positive,240
20200716,Positive,226
20200715,Positive,217
20200714,Positive,213
20200713,Positive,210
20200712,Positive,209
20200711,Positive,205
20200710,Positive,197
20200709,Positive,190
20200708,Positive,180
20200707,Positive,172
20200706,Positive,148
20200705,Positive,144
20200720,Negative,9029
20200719,Negative,8859
20200718,Negative,8810
20200717,Negative,8539
20200716,Negative,8308
20200715,Negative,7930
20200714,Negative,7745
20200713,Negative,7609
20200712,Negative,7516
20200711,Negative,7425
20200710,Negative,7191
20200709,Negative,6941
20200708,Negative,6737
20200707,Negative,6512
20200706,Negative,6335
20200705,Negative,6253
20200720,Equivocal,17
20200719,Equivocal,17
20200718,Equivocal,17
20200717,Equivocal,17
20200716,Equivocal,17
20200715,Equivocal,17
20200714,Equivocal,17
20200713,Equivocal,17
20200712,Equivocal,17
20200711,Equivocal,17
20200710,Equivocal,17
20200709,Equivocal,17
20200708,Equivocal,17
20200707,Equivocal,17
20200706,Equivocal,17
20200705,Equivocal,17
20200720,Invalid,59
20200719,Invalid,59
20200718,Invalid,59
20200717,Invalid,58
20200716,Invalid,58
20200715,Invalid,58
20200714,Invalid,56
20200713,Invalid,45
20200712,Invalid,41
20200711,Invalid,41
20200710,Invalid,37
20200709,Invalid,36
20200708,Invalid,32
20200707,Invalid,30
20200706,Invalid,30
20200705,Invalid,30
