Date,Province,Suspect,Probable,Negative,Positive,Total,Quarantined_Total,Quarantined_New,Recovered_Total,Recovered_New,Admitted-Total,Admitted-New,Active_Total,Active_New,Deaths_Total,Deaths_New,Confirmed_Total
"July 15, 2020",Albay,3,1,396,90,490,,,,,,,21,,4,,
"July 15, 2020",Cam Norte,1,0,65,8,74,,,,,,,4,,1,,
"July 15, 2020",Cam Sur,1,0,141,95,237,,,,,,,70,,2,,
"July 15, 2020",Catanduanes,0,0,29,9,38,,,,,,,5,,0,,
"July 15, 2020",Masbate,0,0,13,22,35,,,,,,,22,,0,,
"July 15, 2020",Sorsogon,2,0,81,11,94,,,,,,,7,,1,,
"July 15, 2020",Others,1,0,1,0,2,,,,,,,,,,,
"July 15, 2020",Total,8,1,726,235,970,107,4,98,1,22,0,129,235,8,0,235
"July 14, 2020",Albay,2,1,396,87,486,,,,,,,18,,4,,
"July 14, 2020",Cam Norte,1,0,65,8,74,,,,,,,4,,1,,
"July 14, 2020",Cam Sur,0,0,141,95,236,,,,,,,71,,1,,
"July 14, 2020",Catanduanes,0,0,29,9,38,,,,,,,5,,0,,
"July 14, 2020",Masbate,0,0,13,21,34,,,,,,,21,,0,,
"July 14, 2020",Sorsogon,2,0,81,11,94,,,,,,,7,,1,,
"July 14, 2020",Others,1,0,1,0,2,,,,,,,,,,,
"July 14, 2020",Total,6,1,726,231,964,104,3,97,4,22,0,126,3,8,1,231
"July 13, 2020",Albay,3,1,394,87,485,,,,,,,18,,4,,
"July 13, 2020",Cam Norte,0,0,65,8,73,,,,,,,4,,1,,
"July 13, 2020",Cam Sur,0,0,141,93,234,,,,,,,73,,1,,
"July 13, 2020",Catanduanes,1,0,28,8,37,,,,,,,4,,0,,
"July 13, 2020",Masbate,0,0,13,21,34,,,,,,,21,,0,,
"July 13, 2020",Sorsogon,0,0,81,11,92,,,,,,,8,,1,,
"July 13, 2020",Others,0,0,1,0,1,,,,,,,,,,,
"July 13, 2020",Total,4,1,723,228,956,101,1,93,0,27,0,128,1,7,0,228
"July 12, 2020",Albay,1,1,393,86,481,,,,,,,17,,4,,
"July 12, 2020",Cam Norte,0,0,65,8,73,,,,,,,4,,1,,
"July 12, 2020",Cam Sur,0,0,141,93,234,,,,,,,73,,1,,
"July 12, 2020",Catanduanes,0,0,28,8,36,,,,,,,4,,0,,
"July 12, 2020",Masbate,0,0,13,21,34,,,,,,,21,,0,,
"July 12, 2020",Sorsogon,0,0,81,11,92,,,,,,,8,,1,,
"July 12, 2020",Others,0,0,1,0,1,,,,,,,,,,,
"July 12, 2020",Total,1,1,722,227,951,100,4,93,6,27,0,127,4,7,0,227
