date,Group,Pop
20200725,Total,1108
20200724,Total,1093
20200723,Total,1068
20200722,Total,1050
20200721,Total,1036
20200720,Total,1024
20200719,Total,1015
20200718,Total,1010
20200717,Total,995
20200716,Total,980
20200715,Total,970
20200714,Total,964
20200713,Total,956
20200712,Total,951
20200711,Total,934
20200710,Total,926
20200709,Total,916
20200708,Total,897
20200707,Total,887
20200706,Total,864
20200705,Total,851
20200725,Positive,354
20200724,Positive,339
20200723,Positive,320
20200722,Positive,302
20200721,Positive,288
20200720,Positive,280
20200719,Positive,278
20200718,Positive,273
20200717,Positive,258
20200716,Positive,244
20200715,Positive,235
20200714,Positive,231
20200713,Positive,228
20200712,Positive,227
20200711,Positive,223
20200710,Positive,215
20200709,Positive,208
20200708,Positive,198
20200707,Positive,190
20200706,Positive,166
20200705,Positive,162
20200725,Negative,752
20200724,Negative,752
20200723,Negative,744
20200722,Negative,744
20200721,Negative,740
20200720,Negative,735
20200719,Negative,734
20200718,Negative,734
20200717,Negative,734
20200716,Negative,731
20200715,Negative,726
20200714,Negative,726
20200713,Negative,723
20200712,Negative,722
20200711,Negative,709
20200710,Negative,707
20200709,Negative,697
20200708,Negative,697
20200707,Negative,695
20200706,Negative,694
20200705,Negative,687
20200725,Probable,1
20200724,Probable,1
20200723,Probable,1
20200722,Probable,1
20200721,Probable,1
20200720,Probable,1
20200719,Probable,1
20200718,Probable,1
20200717,Probable,1
20200716,Probable,1
20200715,Probable,1
20200714,Probable,1
20200713,Probable,1
20200712,Probable,1
20200711,Probable,1
20200710,Probable,1
20200709,Probable,1
20200708,Probable,1
20200707,Probable,1
20200706,Probable,1
20200705,Probable,1
20200725,Suspect,1
20200724,Suspect,1
20200723,Suspect,3
20200722,Suspect,3
20200721,Suspect,7
20200720,Suspect,8
20200719,Suspect,2
20200718,Suspect,2
20200717,Suspect,2
20200716,Suspect,4
20200715,Suspect,8
20200714,Suspect,6
20200713,Suspect,4
20200712,Suspect,1
20200711,Suspect,1
20200710,Suspect,3
20200709,Suspect,10
20200708,Suspect,1
20200707,Suspect,1
20200706,Suspect,3
20200705,Suspect,1
