Date,BRDL_TotalTest,BRDL_ConfPositive,BRDL_Negative,BRDL_Equivocal,BRDL_Invalid,BMC_TotalTest,BMC_ConfPositive,BMC_Negative,BMC_Equivocal,BMC_Invalid,TotalTests,BRDLBMC_ALLTESTS,BRDLBMC_ALLTESTS_Positive,BRDLBMC_ALLTESTS_Negative,BRDLBMC_ALLTESTS_Equivocal,BRDLBMC_ALLTESTS_Invalid
"July 22, 2020",238,6,232,0,0,41,11,30,0,0,279,9938,284,9551,17,59
"July 21, 2020",224,8,215,0,0,45,0,45,0,0,269,9659,270,9289,17,59
"July 20, 2020",131,1,129,0,0,6,1,5,0,0,137,9390,262,9029,17,59
"July 19, 2020",47,2,45,0,0,43,3,40,0,0,90,9253,260,8859,17,59
"July 18, 2020",245,15,559,0,1,42,0,42,0,0,287,9163,255,8810,17,59
"July 17, 2020",231,14,217,0,0,14,0,14,0,0,245,8876,240,8539,17,58
"July 16, 2020",381,9,372,0,0,6,0,6,0,0,387,8631,226,8308,17,58
"July 15, 2020",169,4,163,0,2,22,0,22,0,0,191,8244,217,7930,17,58
"July 14, 2020",141,3,127,0,11,9,0,0,9,0,150,8053,213,7745,17,56
"July 13, 2020",92,1,87,0,4,6,0,0,0,0,98,7903,210,7609,17,45
"July 12, 2020",40,0,40,0,0,55,4,51,0,0,95,7805,209,7516,17,41
"July 11, 2020",167,2,161,0,4,79,6,73,0,0,246,7710,205,7425,17,41
"July 10, 2020",182,5,176,0,1,76,2,74,0,0,258,7464,197,7191,17,37
"July 9, 2020",141,3,134,0,4,77,7,70,0,0,218,7206,190,6941,17,36
"July 8, 2020",164,5,157,0,2,71,3,68,0,0,235,6988,180,6737,17,32
"July 7, 2020",141,16,125,0,0,60,8,52,0,0,201,6753,172,6512,17,30
"July 6, 2020",41,0,41,0,0,45,4,41,0,0,86,6552,148,6335,17,30
"July 5, 2020",126,1,125,0,0,63,7,56,0,0,189,6466,144,6253,17,30
