date,nameNum,name,TotalConfr,Deaths
"July 31, 2020",1,Barangay 1,21,1
"July 31, 2020",2,Barangay 2,19,2
"July 31, 2020",3,Barangay 3,20,5
"July 31, 2020",4,Barangay 4,10,1
"July 31, 2020",5,Barangay 5,2,0
"July 31, 2020",6,Barangay 6,8,0
"July 31, 2020",7,Barangay 7,13,0
"July 31, 2020",8,Barangay 8,100,9
"July 31, 2020",9,Barangay 9,12,0
"July 31, 2020",10,Barangay 10,8,0
"July 31, 2020",11,Barangay 11,5,0
"July 31, 2020",12,Barangay 12,148,4
"July 31, 2020",13,Barangay 13,1,0
"July 31, 2020",14,Barangay 14,58,2
"July 31, 2020",15,Barangay 15,12,0
"July 31, 2020",16,Barangay 16,14,0
"July 31, 2020",17,Barangay 17,11,0
"July 31, 2020",18,Barangay 18,51,2
"July 31, 2020",19,Barangay 19,14,1
"July 31, 2020",20,Barangay 20,32,1
"July 31, 2020",21,Barangay 21,8,0
"July 31, 2020",22,Barangay 22,34,0
"July 31, 2020",23,Barangay 23,15,0
"July 31, 2020",24,Barangay 24,11,0
"July 31, 2020",25,Barangay 25,8,0
"July 31, 2020",26,Barangay 26,7,1
"July 31, 2020",27,Barangay 27,17,3
"July 31, 2020",28,Barangay 28,103,3
"July 31, 2020",29,Barangay 29,4,1
"July 31, 2020",30,Barangay 30,13,1
"July 31, 2020",31,Barangay 31,21,0
"July 31, 2020",32,Barangay 32,8,1
"July 31, 2020",33,Barangay 33,35,1
"July 31, 2020",34,Barangay 34,14,0
"July 31, 2020",35,Barangay 35,59,4
"July 31, 2020",36,Barangay 36,11,1
"July 31, 2020",37,Barangay 37,3,1
"July 31, 2020",38,Barangay 38,46,2
"July 31, 2020",39,Barangay 39,3,0
"July 31, 2020",40,Barangay 40,2,0
"July 31, 2020",41,Barangay 41,3,0
"July 31, 2020",42,Barangay 42,6,0
"July 31, 2020",43,Barangay 43,16,1
"July 31, 2020",44,Barangay 44,0,0
"July 31, 2020",45,Barangay 45,0,0
"July 31, 2020",46,Barangay 46,6,0
"July 31, 2020",47,Barangay 47,0,0
"July 31, 2020",48,Barangay 48,25,1
"July 31, 2020",49,Barangay 49,6,0
"July 31, 2020",50,Barangay 50,2,0
"July 31, 2020",51,Barangay 51,2,1
"July 31, 2020",52,Barangay 52,1,0
"July 31, 2020",53,Barangay 53,1,0
"July 31, 2020",54,Barangay 54,1,0
"July 31, 2020",55,Barangay 55,12,0
"July 31, 2020",56,Barangay 56,6,0
"July 31, 2020",57,Barangay 57,1,0
"July 31, 2020",58,Barangay 58,2,0
"July 31, 2020",59,Barangay 59,14,1
"July 31, 2020",60,Barangay 60,2,0
"July 31, 2020",61,Barangay 61,0,0
"July 31, 2020",62,Barangay 62,0,0
"July 31, 2020",63,Barangay 63,16,2
"July 31, 2020",64,Barangay 64,8,0
"July 31, 2020",65,Barangay 65,3,2
"July 31, 2020",66,Barangay 66,19,1
"July 31, 2020",67,Barangay 67,8,1
"July 31, 2020",68,Barangay 68,1,0
"July 31, 2020",69,Barangay 69,8,0
"July 31, 2020",70,Barangay 70,3,0
"July 31, 2020",71,Barangay 71,3,0
"July 31, 2020",72,Barangay 72,0,0
"July 31, 2020",73,Barangay 73,73,1
"July 31, 2020",74,Barangay 74,11,0
"July 31, 2020",75,Barangay 75,30,2
"July 31, 2020",76,Barangay 76,0,0
"July 31, 2020",77,Barangay 77,3,0
"July 31, 2020",78,Barangay 78,4,0
"July 31, 2020",79,Barangay 79,1,0
"July 31, 2020",80,Barangay 80,3,0
"July 31, 2020",81,Barangay 81,21,1
"July 31, 2020",82,Barangay 82,9,0
"July 31, 2020",83,Barangay 83,3,0
"July 31, 2020",84,Barangay 84,6,0
"July 31, 2020",85,Barangay 85,7,1
"July 31, 2020",86,Barangay 86,4,0
"July 31, 2020",87,Barangay 87,4,0
"July 31, 2020",88,Barangay 88,3,0
"July 31, 2020",89,Barangay 89,3,0
"July 31, 2020",90,Barangay 90,11,1
"July 31, 2020",91,Barangay 91,0,0
"July 31, 2020",92,Barangay 92,0,0
"July 31, 2020",93,Barangay 93,41,0
"July 31, 2020",94,Barangay 94,7,0
"July 31, 2020",95,Barangay 95,20,0
"July 31, 2020",96,Barangay 96,14,0
"July 31, 2020",97,Barangay 97,14,0
"July 31, 2020",98,Barangay 98,12,0
"July 31, 2020",99,Barangay 99,2,0
"July 31, 2020",100,Barangay 100,3,0
"July 31, 2020",101,Barangay 101,3,0
"July 31, 2020",102,Barangay 102,7,0
"July 31, 2020",103,Barangay 103,0,0
"July 31, 2020",104,Barangay 104,8,1
"July 31, 2020",105,Barangay 105,5,0
"July 31, 2020",106,Barangay 106,2,0
"July 31, 2020",107,Barangay 107,1,0
"July 31, 2020",108,Barangay 108,0,0
"July 31, 2020",109,Barangay 109,1,1
"July 31, 2020",110,Barangay 110,8,0
"July 31, 2020",111,Barangay 111,3,1
"July 31, 2020",112,Barangay 112,8,0
"July 31, 2020",113,Barangay 113,0,0
"July 31, 2020",114,Barangay 114,3,0
"July 31, 2020",115,Barangay 115,3,0
"July 31, 2020",116,Barangay 116,0,0
