date,name,Active,Recovered,Deaths,TotalConfr,Probable,Suspect
"August 5, 2020",Almanza Dos,16,37,9,62,0,2
"August 5, 2020",Almanza Uno,15,30,3,48,64,1
"August 5, 2020",C.A.A. BF International,74,84,7,165,10,15
"August 5, 2020",Daniel Fajardo,10,25,3,38,0,9
"August 5, 2020",Elias Aldana,6,26,0,32,0,60
"August 5, 2020",Ilaya,3,12,0,15,1,1
"August 5, 2020",Manuyo Dos,13,54,4,71,7,2
"August 5, 2020",Manuyo Uno,5,37,1,43,0,16
"August 5, 2020",Pamplona Dos,10,24,0,34,0,2
"August 5, 2020",Pamplona Tres,18,49,3,70,4,2
"August 5, 2020",Pamplona Uno,20,30,2,52,6,3
"August 5, 2020",Pilar,21,44,1,66,2,11
"August 5, 2020",Pulanglupa Dos,16,48,9,106,1,5
"August 5, 2020",Pulanglupa Uno,37,60,9,106,1,5
"August 5, 2020",Talon Dos,29,63,6,98,1,30
"August 5, 2020",Talon Kuatro,23,19,1,43,0,7
"August 5, 2020",Talon Singko,21,31,4,56,0,7
"August 5, 2020",Talon Tres,15,33,2,50,35,31
"August 5, 2020",Talon Uno,22,24,3,49,6,15
"August 5, 2020",Zapote,10,33,0,43,0,4
