date,name,Active,Recovered,Deaths,TotalConfirmed,Suspect,Cleared,Probable
"July 29, 2020",Addition Hills,122,175,15,312,315,1378,66
"July 29, 2020",Bagong Silang,3,14,1,18,1,73,0
"July 29, 2020",Barangka Drive,10,57,8,75,138,378,10
"July 29, 2020",Barangka Ibaba,29,20,1,50,13,60,5
"July 29, 2020",Barangka Ilaya,17,21,3,41,33,177,3
"July 29, 2020",Barangka Itaas,7,11,2,20,31,204,0
"July 29, 2020",Buayang Bato,9,13,1,23,8,82,1
"July 29, 2020",Burol,18,7,2,27,19,104,2
"July 29, 2020",Daang Bakal,5,9,1,15,13,26,2
"July 29, 2020",Hagdang Bato Ibaba,5,17,0,22,10,65,0
"July 29, 2020",Hagdang Bato Itaas,15,12,2,29,10,106,11
"July 29, 2020",Harapin Ang Bukas,12,9,0,21,4,20,0
"July 29, 2020",Highway Hills,61,52,10,123,19,471,5
"July 29, 2020",Hulo,35,48,5,88,6,378,7
"July 29, 2020",Mabini-J. Rizal,27,12,1,40,4,93,27
"July 29, 2020",Malamig,21,14,0,35,31,73,12
"July 29, 2020",Mauway,20,109,6,135,237,467,66
"July 29, 2020",Namayan,16,11,1,28,18,191,0
"July 29, 2020",New Zañiga,7,12,2,21,11,42,1
"July 29, 2020",Old Zañiga,17,8,0,25,7,34,0
"July 29, 2020",Pag-asa,14,5,2,21,16,45,7
"July 29, 2020",Plainview,36,78,1,115,21,485,30
"July 29, 2020",Pleasant Hills,3,32,2,37,8,376,0
"July 29, 2020",Poblacion,8,37,6,61,97,179,0
"July 29, 2020",San Jose,25,2,1,28,82,165,13
"July 29, 2020",Vergara,4,20,0,24,3,143,0
"July 29, 2020",Wack-Wack Greenhills,13,12,1,26,0,78,0
"July 29, 2020",*Correctional Institution for Women,0,7,1,8,,,
"July 29, 2020",*Natl. Center for Mental Health,14,46,7,67,,,
,,,,,,,,
,,,,,,,,
"July 27, 2020",Addition Hills,115,170,15,300,305,1271,66
"July 27, 2020",Bagong Silang,4,13,1,18,1,67,0
"July 27, 2020",Barangka Drive,10,57,8,75,138,371,10
"July 27, 2020",Barangka Ibaba,27,20,1,48,13,59,5
"July 27, 2020",Barangka Ilaya,15,21,3,39,33,171,3
"July 27, 2020",Barangka Itaas,7,11,2,20,29,188,0
"July 27, 2020",Buayang Bato,9,13,0,22,8,77,1
"July 27, 2020",Burol,18,7,2,27,19,93,2
"July 27, 2020",Daang Bakal,5,9,1,15,13,22,2
"July 27, 2020",Hagdang Bato Ibaba,5,17,0,22,10,55,0
"July 27, 2020",Hagdang Bato Itaas,14,12,2,28,10,102,11
"July 27, 2020",Harapin Ang Bukas,4,9,0,13,4,20,0
"July 27, 2020",Highway Hills,57,52,10,119,61,422,5
"July 27, 2020",Hulo,36,47,5,88,6,373,7
"July 27, 2020",Mabini-J. Rizal,25,12,1,38,4,91,27
"July 27, 2020",Malamig,10,14,0,34,20,71,12
"July 27, 2020",Mauway,17,108,6,131,180,455,59
"July 27, 2020",Namayan,16,11,1,28,18,191,0
"July 27, 2020",New Zañiga,8,11,2,21,9,39,1
"July 27, 2020",Old Zañiga,11,8,0,19,12,34,0
"July 27, 2020",Pag-asa,14,3,2,19,16,37,7
"July 27, 2020",Plainview,40,69,1,110,21,471,30
"July 27, 2020",Pleasant Hills,2,32,2,36,8,373,0
"July 27, 2020",Poblacion,19,36,5,60,69,168,0
"July 27, 2020",San Jose,26,1,1,28,49,157,13
"July 27, 2020",Vergara,5,19,0,24,2,140,0
"July 27, 2020",Wack-Wack Greenhills,9,12,1,22,0,77,0
"July 27, 2020",*Correctional Institution for Women,0,7,1,8,,,
"July 27, 2020",*Natl. Center for Mental Health,14,46,7,67,,,
