date,name,Active,Recovered,Deaths,TotalConfr
"August 1, 2020",Barangka,15,10,3,28
"August 1, 2020",Calumpang,15,10,2,27
"August 1, 2020",Concepcion Dos,18,19,1,38
"August 1, 2020",Concepcion Uno,36,30,7,73
"August 1, 2020",Fortune,34,30,3,67
"August 1, 2020",Industrial Valley,6,17,2,25
"August 1, 2020",Jesus Dela Peña,10,17,1,28
"August 1, 2020",Malanday,59,41,4,104
"August 1, 2020",Marikina Heights,30,24,2,56
"August 1, 2020",Nangka,28,28,4,60
"August 1, 2020",Parang,39,30,1,70
"August 1, 2020",San Roque,10,19,0,29
"August 1, 2020",Santa Elena,12,26,1,39
"August 1, 2020",Santo Niño,48,34,3,85
"August 1, 2020",Tanong,6,12,3,21
"August 1, 2020",Tumana,20,7,1,28
