date,name,Active,Recovered,Deaths,TotalConfr
"August 4, 2020",Bagumbayan North,24,11,0,35
"August 4, 2020",Bagumbayan South,39,38,2,79
"August 4, 2020",Bangculasi,84,48,4,136
"August 4, 2020",Daanghari,126,50,3,179
"August 4, 2020",Navotas East,39,15,0,54
"August 4, 2020",Navotas West,40,43,5,88
"August 4, 2020",North Bay Blvd. North,54,53,8,115
"August 4, 2020",North Bay Blvd. South - Dagat_dagatan,177,110,11,298
"August 4, 2020",North Bay Blvd. South - Kaunlaran,212,80,6,298
"August 4, 2020",North Bay Blvd. South - Proper,90,86,12,188
"August 4, 2020",San Jose,125,100,15,240
"August 4, 2020",San Rafael Village,19,20,1,40
"August 4, 2020",San Roque,117,76,9,202
"August 4, 2020",Sipac Almasen,79,70,4,153
"August 4, 2020",Tangos North,72,61,7,140
"August 4, 2020",Tangos South,132,76,8,216
"August 4, 2020",Tanza 1,102,16,1,119
"August 4, 2020",Tanza 2,103,31,2,136
