date,name,Active,Recovered,Death,TotalConfr
"July 31, 2020",Barangay 1,0,1,0,1
"July 31, 2020",Barangay 2,1,5,0,6
"July 31, 2020",Barangay 3,0,1,0,1
"July 31, 2020",Barangay 4,3,4,0,7
"July 31, 2020",Barangay 5,1,12,0,13
"July 31, 2020",Barangay 6,0,3,0,3
"July 31, 2020",Barangay 7,0,1,0,1
"July 31, 2020",Barangay 8,0,19,2,21
"July 31, 2020",Barangay 9,0,4,0,4
"July 31, 2020",Barangay 10,2,10,1,13
"July 31, 2020",Barangay 11,29,9,0,38
"July 31, 2020",Barangay 12,0,0,0,0
"July 31, 2020",Barangay 13,2,8,0,10
"July 31, 2020",Barangay 14,10,27,2,39
"July 31, 2020",Barangay 15,2,2,0,4
"July 31, 2020",Barangay 16,5,2,0,7
"July 31, 2020",Barangay 17,2,2,0,4
"July 31, 2020",Barangay 18,6,7,0,13
"July 31, 2020",Barangay 19,0,0,0,0
"July 31, 2020",Barangay 20,1,3,0,4
"July 31, 2020",Barangay 21,4,2,0,6
"July 31, 2020",Barangay 22,3,0,0,3
"July 31, 2020",Barangay 23,6,13,1,20
"July 31, 2020",Barangay 24,2,0,0,2
"July 31, 2020",Barangay 25,0,0,0,0
"July 31, 2020",Barangay 26,9,0,0,9
"July 31, 2020",Barangay 27,3,0,0,3
"July 31, 2020",Barangay 28,6,0,0,6
"July 31, 2020",Barangay 29,10,2,0,12
"July 31, 2020",Barangay 30,2,0,0,2
"July 31, 2020",Barangay 31,4,9,1,12
"July 31, 2020",Barangay 32,8,8,1,17
"July 31, 2020",Barangay 33,3,0,1,4
"July 31, 2020",Barangay 34,14,11,1,26
"July 31, 2020",Barangay 35,3,7,0,10
"July 31, 2020",Barangay 36,3,15,0,18
"July 31, 2020",Barangay 37,16,10,0,26
"July 31, 2020",Barangay 38,5,3,0,8
"July 31, 2020",Barangay 39,2,6,0,8
"July 31, 2020",Barangay 40,7,1,0,8
"July 31, 2020",Barangay 41,2,2,0,4
"July 31, 2020",Barangay 42,20,5,0,25
"July 31, 2020",Barangay 43,5,0,0,5
"July 31, 2020",Barangay 44,2,6,0,8
"July 31, 2020",Barangay 45,2,4,0,6
"July 31, 2020",Barangay 46,16,21,1,38
"July 31, 2020",Barangay 47,0,0,0,0
"July 31, 2020",Barangay 48,4,1,0,5
"July 31, 2020",Barangay 49,3,0,0,3
"July 31, 2020",Barangay 50,0,0,0,0
"July 31, 2020",Barangay 51,3,1,0,4
"July 31, 2020",Barangay 52,2,3,2,7
