date,name,New case,Active,Recovered,Death,Suspect_Old,Suspect_New,Probable
"July 31, 2020",Altura Bata,0,0,0,0,0,0,0
"July 31, 2020",Altura Matanda,0,0,1,0,0,0,0
"July 31, 2020",Altura-South,0,0,1,0,0,0,0
"July 31, 2020",Ambulong,0,0,0,0,2,0,0
"July 31, 2020",Bagbag,0,0,0,0,0,0,0
"July 31, 2020",Bagumbayan,0,5,2,0,18,0,0
"July 31, 2020",Balele,0,0,0,0,1,0,0
"July 31, 2020",Banadero,0,1,0,0,2,0,0
"July 31, 2020",Banjo East,0,0,3,0,10,0,0
"July 31, 2020",Banjo Laurel,0,1,0,0,3,0,0
"July 31, 2020",Bilog-Bilog,0,3,0,0,7,0,0
"July 31, 2020",Boot,0,0,0,0,1,0,0
"July 31, 2020",Cale,0,2,0,0,14,0,0
"July 31, 2020",Darasa,0,4,4,0,16,0,0
"July 31, 2020",Gonzales,0,1,0,0,5,0,0
"July 31, 2020",Hidalgo,0,1,0,0,2,0,0
"July 31, 2020",Janopol,0,0,0,0,2,0,0
"July 31, 2020",Janopol Oriental,1,4,1,0,23,0,0
"July 31, 2020",Laurel,0,1,0,0,1,0,0
"July 31, 2020",Luyos,0,3,9,0,0,0,0
"July 31, 2020",Mabini,0,0,0,0,1,0,0
"July 31, 2020",Malaking Pulo,1,2,0,0,6,0,0
"July 31, 2020",Maria Paz,0,0,0,0,2,0,0
"July 31, 2020",Maugat,1,2,0,0,0,0,0
"July 31, 2020",Montaña,0,1,0,0,16,0,0
"July 31, 2020",Natatas,0,1,1,0,5,0,0
"July 31, 2020",Pagaspas,0,2,0,0,21,0,0
"July 31, 2020",Pantay Bata,0,6,0,0,10,0,0
"July 31, 2020",Pantay Matanda,0,1,0,0,31,0,0
"July 31, 2020",Poblacion Barangay 1,0,0,0,0,0,0,0
"July 31, 2020",Poblacion Barangay 2,0,0,2,1,1,0,0
"July 31, 2020",Poblacion Barangay 3,0,2,2,0,14,0,0
"July 31, 2020",Poblacion Barangay 4,0,0,1,0,1,0,0
"July 31, 2020",Poblacion Barangay 5,0,0,0,0,0,0,0
