date,name,District,Active,Died,Recovered,Total
"July 24, 2020",Alicia,District 1,6,0,5,11
"July 24, 2020",Amihan,District 3,12,0,4,16
"July 24, 2020",Apolonio Samson,District 6,12,3,96,111
"July 24, 2020",Baesa,District 6,73,7,43,123
"July 24, 2020",Bagbag,District 5,38,3,30,71
"July 24, 2020",Bagong Lipunan ng Crame,District 4,15,0,23,38
"July 24, 2020",Bagong Pag-asa,District 1,24,4,27,55
"July 24, 2020",Bagong Silangan,District 2,24,3,31,58
"July 24, 2020",Bagumbayan,District 3,5,0,10,15
"July 24, 2020",Bagumbuhay,District 3,10,2,16,28
"July 24, 2020",Bahay Toro,District 1,62,11,140,213
"July 24, 2020",Balingasa,District 1,20,4,23,47
"July 24, 2020",Balong Bato,District 6,13,1,14,28
"July 24, 2020",Batasan Hills,District 2,51,15,168,234
"July 24, 2020",Blue Ridge A,District 3,0,0,2,2
"July 24, 2020",Blue Ridge B,District 3,0,0,1,1
"July 24, 2020",Botocan,District 4,10,0,8,18
"July 24, 2020",Bungad,District 1,6,2,15,23
"July 24, 2020",Camp Aguinaldo,District 3,2,0,6,8
"July 24, 2020",Capri,District 5,7,0,10,17
"July 24, 2020",Central,District 4,37,2,37,76
"July 24, 2020",Claro,District 3,4,0,6,10
"July 24, 2020",Commonwealth,District 2,80,6,107,193
"July 24, 2020",Culiat,District 6,35,10,142,187
"July 24, 2020",Damar,District 1,6,0,2,8
"July 24, 2020",Damayan,District 1,15,2,12,29
"July 24, 2020",Damayang Lagi,District 4,12,1,19,42
"July 24, 2020",Del Monte,District 1,5,1,10,16
"July 24, 2020",Dioquino Zobel,District 3,0,1,0,1
"July 24, 2020",Don Manuel,District 4,2,0,8,10
"July 24, 2020",Dona Aurora,District 4,4,1,7,12
"July 24, 2020",Dona Imelda,District 4,30,3,24,57
"July 24, 2020",Dona Josefa,District 4,1,0,2,3
"July 24, 2020",Duyan-duyan,District 3,0,0,3,3
"July 24, 2020",E. Rodriguez,District 3,18,3,79,100
"July 24, 2020",East Kamias,District 3,2,2,2,6
"July 24, 2020",Escopa I,District 3,1,1,5,7
"July 24, 2020",Escopa II,District 3,1,0,0,1
"July 24, 2020",Escopa III,District 3,30,0,6,36
"July 24, 2020",Escopa IV,District 3,2,0,1,3
"July 24, 2020",Fairview,District 5,68,9,46,123
"July 24, 2020",Greater Lagro,District 5,7,1,19,27
"July 24, 2020",Gulod,District 5,30,4,22,56
"July 24, 2020",Holy Spirit,District 2,47,8,83,138
"July 24, 2020",Horseshoe,District 4,1,1,6,8
"July 24, 2020",Immaculate Concepcion,District 4,9,3,9,21
"July 24, 2020",Kaligayahan,District 5,26,1,28,55
"July 24, 2020",Kalusugan,District 4,5,1,33,39
"July 24, 2020",Kamuning,District 4,16,2,32,50
"July 24, 2020",Katipunan,District 1,0,0,3,3
"July 24, 2020",Kaunlaran,District 4,15,2,13,30
"July 24, 2020",Kristong Hari,District 4,47,3,7,57
"July 24, 2020",Krus na Ligas,District 4,7,0,11,18
"July 24, 2020",Laging Handa,District 4,1,0,10,11
"July 24, 2020",Libis,District 3,4,0,23,27
"July 24, 2020",Lourdes,District 1,3,4,6,13
"July 24, 2020",Loyola Heights,District 3,26,0,26,52
"July 24, 2020",Maharlika,District 1,7,1,10,18
"July 24, 2020",Malaya,District 4,1,0,2,3
"July 24, 2020",Manresa,District 1,26,3,20,49
"July 24, 2020",Mariana,District 4,19,2,27,48
"July 24, 2020",Mariblo,District 1,4,0,9,13
"July 24, 2020",Marilag,District 3,8,0,21,29
"July 24, 2020",Masagana,District 3,1,1,7,9
"July 24, 2020",Masambong,District 1,4,2,6,12
"July 24, 2020",Matandang Balara,District 3,42,9,57,108
"July 24, 2020",Milagrosa,District 3,3,1,22,26
"July 24, 2020",N.S. Amoranto,District 1,7,0,17,24
"July 24, 2020",Nagkaisang Nayon,District 5,28,2,12,42
"July 24, 2020",Nayong Kanluran,District 1,7,0,9,16
"July 24, 2020",New Era,District 6,24,5,41,70
"July 24, 2020",North Fairview,District 5,28,3,16,47
"July 24, 2020",Novaliches Proper,District 5,11,1,17,29
"July 24, 2020",Obrero,District 4,15,1,16,32
"July 24, 2020",Old Capitol Site,District 4,26,2,4,32
"July 24, 2020",Paang Bundok,District 1,11,0,5,16
"July 24, 2020",Pag-ibig sa Nayon,District 1,4,1,1,6
"July 24, 2020",Paligsahan,District 4,3,3,11,17
"July 24, 2020",Paltok,District 1,8,3,26,37
"July 24, 2020",Pansol,District 3,29,2,28,59
