date,Group,Pop
20200718,Albay,499
20200718,Cam Norte,74
20200718,Cam Sur,246
20200718,Catanduanes,43
20200718,Masbate,51
20200718,Sorsogon,95
20200718,Others,2
20200718,Total,1010
20200717,Albay,496
20200717,Cam Norte,74
20200717,Cam Sur,243
20200717,Catanduanes,43
20200717,Masbate,42
20200717,Sorsogon,95
20200717,Others,2
20200717,Total,995
20200716,Albay,495
20200716,Cam Norte,74
20200716,Cam Sur,238
20200716,Catanduanes,40
20200716,Masbate,37
20200716,Sorsogon,94
20200716,Others,2
20200716,Total,980
20200715,Albay,490
20200715,Cam Norte,74
20200715,Cam Sur,237
20200715,Catanduanes,38
20200715,Masbate,35
20200715,Sorsogon,94
20200715,Others,2
20200715,Total,970
20200714,Albay,486
20200714,Cam Norte,74
20200714,Cam Sur,236
20200714,Catanduanes,38
20200714,Masbate,34
20200714,Sorsogon,94
20200714,Others,2
20200714,Total,964
20200713,Albay,485
20200713,Cam Norte,73
20200713,Cam Sur,234
20200713,Catanduanes,37
20200713,Masbate,34
20200713,Sorsogon,92
20200713,Others,1
20200713,Total,956
20200712,Albay,481
20200712,Cam Norte,73
20200712,Cam Sur,234
20200712,Catanduanes,36
20200712,Masbate,34
20200712,Sorsogon,92
20200712,Others,1
20200712,Total,951
20200711,Albay,479
20200711,Cam Norte,72
20200711,Cam Sur,227
20200711,Catanduanes,33
20200711,Masbate,34
20200711,Sorsogon,88
20200711,Others,1
20200711,Total,934
20200710,Albay,477
20200710,Cam Norte,72
20200710,Cam Sur,221
20200710,Catanduanes,33
20200710,Masbate,34
20200710,Sorsogon,88
20200710,Others,1
20200710,Total,926
20200709,Albay,476
20200709,Cam Norte,70
20200709,Cam Sur,219
20200709,Catanduanes,33
20200709,Masbate,30
20200709,Sorsogon,87
20200709,Others,1
20200709,Total,916
20200708,Albay,474
20200708,Cam Norte,65
20200708,Cam Sur,211
20200708,Catanduanes,32
20200708,Masbate,28
20200708,Sorsogon,86
20200708,Others,1
20200708,Total,897
20200707,Albay,471
20200707,Cam Norte,65
20200707,Cam Sur,208
20200707,Catanduanes,32
20200707,Masbate,28
20200707,Sorsogon,82
20200707,Others,1
20200707,Total,887
20200706,Albay,469
20200706,Cam Norte,65
20200706,Cam Sur,200
20200706,Catanduanes,30
20200706,Masbate,17
20200706,Sorsogon,82
20200706,Others,1
20200706,Total,864
20200705,Albay,467
20200705,Cam Norte,65
20200705,Cam Sur,190
20200705,Catanduanes,30
20200705,Masbate,16
20200705,Sorsogon,82
20200705,Others,1
20200705,Total,851
