date,name,Active,Recovered,Deaths,TotalConfirmed
"July 25, 2020",Addition Hills,7,13,1,21
"July 25, 2020",Balong Bato,17,44,2,63
"July 25, 2020",Batis,25,26,1,52
"July 25, 2020",Corazon De Jesus,10,46,5,61
"July 25, 2020",Ermitano,9,16,1,26
"July 25, 2020",Greenhills,12,53,9,74
"July 25, 2020",Isabelita,3,4,0,7
"July 25, 2020",Kabayanan,10,12,3,25
"July 25, 2020",Little Baguio,11,13,2,26
"July 25, 2020",Maytunas,3,12,0,15
"July 25, 2020",Onse,14,31,2,47
"July 25, 2020",Pasadena,16,20,4,40
"July 25, 2020",Pedro Cruz,11,17,1,29
"July 25, 2020",Progreso,12,23,1,36
"July 25, 2020",Rivera,7,11,0,18
"July 25, 2020",Saint Joseph,0,5,1,6
"July 25, 2020",Salapan,24,28,4,56
"July 25, 2020",San Perfecto,9,17,4,30
"July 25, 2020",Santa Lucia,27,27,1,55
"July 25, 2020",Tibagan,7,18,1,26
"July 25, 2020",West Crame,10,38,5,53
