date,name,District,Active ,Recovered,Deaths,TotalConfirmed
"July 29, 2020",Bagumbayan,1,45,86,1,132
"July 29, 2020",Bambang,1,7,23,0,30
"July 29, 2020",Calzada,1,8,40,0,48
"July 29, 2020",Central Bicutan,2,16,35,2,53
"July 29, 2020",Central Signal Village,2,4,30,2,36
"July 29, 2020",Fort Bonifacio,2,15,488,2,505
"July 29, 2020",Hagonoy,1,4,23,0,27
"July 29, 2020",Ibayo Tipas,1,1,28,4,33
"July 29, 2020",Katuparan,2,4,13,0,17
"July 29, 2020",Ligid Tipas,1,3,25,0,28
"July 29, 2020",Lower Bicutan,1,10,221,6,237
"July 29, 2020",Maharlika Village,2,1,18,1,20
"July 29, 2020",Napindan,1,1,12,0,13
"July 29, 2020",New Lower Bicutan,1,7,59,2,68
"July 29, 2020",North Daang Hari,2,1,83,0,84
"July 29, 2020",North Signal Village,2,4,21,1,26
"July 29, 2020",Palingon,1,5,12,0,17
"July 29, 2020",Pinagsama,2,13,92,1,106
"July 29, 2020",San Miguel,1,1,19,0,20
"July 29, 2020",Santa Ana,1,2,37,0,39
"July 29, 2020",South Daang Hari,2,15,58,2,75
"July 29, 2020",South Signal Village,2,20,53,5,78
"July 29, 2020",Tanyag,2,1,16,0,17
"July 29, 2020",Tuktukan,1,2,29,1,32
"July 29, 2020",Upper Bicutan,2,20,48,1,69
"July 29, 2020",Ususan,1,11,76,0,87
"July 29, 2020",Wawa,1,4,21,0,25
"July 29, 2020",Western Bicutan,2,13,105,1,119
,,,,,,
"July 26, 2020",Bagumbayan,1,60,68,1,129
"July 26, 2020",Bambang,1,4,23,0,27
"July 26, 2020",Calzada,1,8,40,0,48
"July 26, 2020",Central Bicutan,2,10,35,2,47
"July 26, 2020",Central Signal Village,2,3,30,1,34
"July 26, 2020",Fort Bonifacio,2,12,488,2,502
"July 26, 2020",Hagonoy,1,3,23,0,26
"July 26, 2020",Ibayo Tipas,1,0,28,4,32
"July 26, 2020",Katuparan,2,2,13,0,15
"July 26, 2020",Ligid Tipas,1,2,25,0,27
"July 26, 2020",Lower Bicutan,1,9,221,6,236
"July 26, 2020",Maharlika Village,2,1,18,1,20
"July 26, 2020",Napindan,1,1,12,0,13
"July 26, 2020",New Lower Bicutan,1,7,59,2,68
"July 26, 2020",North Daang Hari,2,10,73,0,83
"July 26, 2020",North Signal Village,2,0,21,1,22
"July 26, 2020",Palingon,1,3,11,0,14
"July 26, 2020",Pinagsama,2,9,92,1,102
"July 26, 2020",San Miguel,1,0,37,0,37
"July 26, 2020",Santa Ana,1,0,37,0,37
"July 26, 2020",South Daang Hari,2,15,58,2,75
"July 26, 2020",South Signal Village,2,2,52,2,56
"July 26, 2020",Tanyag,2,0,16,0,16
"July 26, 2020",Tuktukan,1,6,25,1,32
"July 26, 2020",Upper Bicutan,2,5,48,0,53
"July 26, 2020",Ususan,1,6,76,0,82
"July 26, 2020",Wawa,1,4,21,0,25
"July 26, 2020",Western Bicutan,2,12,105,1,118
,,,,,,
"July 25, 2020",Bagumbayan,1,59,68,1,128
"July 25, 2020",Bambang,1,2,23,0,25
"July 25, 2020",Calzada,1,7,40,0,47
"July 25, 2020",Central Bicutan,2,6,35,2,43
"July 25, 2020",Central Signal Village,2,3,29,1,33
"July 25, 2020",Fort Bonifacio,2,9,488,2,499
"July 25, 2020",Hagonoy,1,3,23,0,26
"July 25, 2020",Ibayo Tipas,1,0,28,4,32
"July 25, 2020",Katuparan,2,2,13,0,15
"July 25, 2020",Ligid Tipas,1,1,25,0,26
"July 25, 2020",Lower Bicutan,1,9,221,6,236
"July 25, 2020",Maharlika Village,2,1,18,1,20
"July 25, 2020",Napindan,1,1,12,0,13
"July 25, 2020",New Lower Bicutan,1,7,59,2,68
"July 25, 2020",North Daang Hari,2,10,73,0,83
"July 25, 2020",North Signal Village,2,0,21,1,22
"July 25, 2020",Palingon,1,3,11,0,14
"July 25, 2020",Pinagsama,2,7,92,1,100
"July 25, 2020",San Miguel,1,1,19,0,20
"July 25, 2020",Santa Ana,1,0,37,0,37
"July 25, 2020",South Daang Hari,2,15,58,2,75
"July 25, 2020",South Signal Village,2,1,52,2,55
"July 25, 2020",Tanyag,2,0,16,16,16
"July 25, 2020",Tuktukan,1,6,25,1,32
"July 25, 2020",Upper Bicutan,2,5,48,0,53
"July 25, 2020",Ususan,1,5,86,0,81
"July 25, 2020",Wawa,1,1,21,0,22
"July 25, 2020",Western Bicutan,2,10,105,1,116
